"","Isolate","Isolate_rep","Spot_rep","Culture_media","MALDI_Identification","Archive","Number_Init_folder","Number_End_folder"
"1","RA22","RA22.1",3,"TSBg","Staphylococcus aureus",1,10,12
"2","RA22","RA22.2",3,"TSBg","Staphylococcus sp.",1,13,15
"3","RA22","RA22.3",3,"TSBg","Staphylococcus aureus",1,16,18
"4","RA22","RA22.4",3,"TSBg","Staphylococcus aureus",1,19,21
"5","RA24","RA24.1",4,"TSBg","Not reliable",1,22,25
"6","RA24","RA24.2",3,"TSBg","Staphylococcus aureus",1,26,28
"7","RA24","RA24.3",3,"TSBg","Staphylococcus sp.",1,29,31
"8","RA24","RA24.4",2,"TSBg","Staphylococcus aureus",1,32,33
"9","MBb30","MBb30.1",3,"TSBg","Staphylococcus aureus",1,34,36
"10","MBb30","MBb30.2",3,"TSBg","Staphylococcus aureus",1,37,39
"11","MBb30","MBb30.3",3,"TSBg","Staphylococcus aureus",1,40,42
"12","MBb30","MBb30.4",3,"TSBg","Staphylococcus aureus",1,43,45
"13","MB308","MB308.1",3,"TSBg","Staphylococcus aureus",1,46,48
"14","MB308","MB308.2",3,"TSBg","Staphylococcus sp.",1,49,51
"15","MB308","MB308.3",3,"TSBg","Staphylococcus sp.",1,52,54
"16","MB308","MB308.4",3,"TSBg","Staphylococcus sp.",1,55,57
"17","RA18","RA18.1",3,"TSBg","Staphylococcus aureus",1,58,60
"18","RA18","RA18.2",3,"TSBg","Staphylococcus aureus",1,61,63
"19","RA18","RA18.3",3,"TSBg","Not reliable",1,64,66
"20","RA18","RA18.4",3,"TSBg","Staphylococcus aureus",1,67,69
"21","MBT002","MBT002.1",3,"TSBg","Staphylococcus sp.",1,70,72
"22","MBT002","MBT002.2",3,"TSBg","Staphylococcus aureus",1,73,75
"23","MBT002","MBT002.3",3,"TSBg","Staphylococcus aureus",1,76,78
"24","MBT002","MBT002.4",3,"TSBg","Staphylococcus aureus",1,79,81
"25","MB019","MB019.1",3,"TSBg","Staphylococcus aureus",1,82,84
"26","MB019","MB019.2",3,"TSBg","Staphylococcus aureus",1,85,87
"27","MB019","MB019.3",3,"TSBg","Staphylococcus aureus",1,88,90
"28","MB019","MB019.4",3,"TSBg","Staphylococcus aureus",1,91,93
"29","MB326","MB326.1",3,"TSBg","Staphylococcus aureus",2,10,12
"30","MB326","MB326.2",3,"TSBg","Staphylococcus aureus",2,13,15
"31","MB326","MB326.3",3,"TSBg","Staphylococcus aureus",2,16,18
"32","MB326","MB326.4",3,"TSBg","Staphylococcus aureus",2,19,21
